id,Job_title,Company,Category,Location,Work_type,Working_type,Salary,Experience,Skills,Study_requirement,Desc,Link,Link_img
gl0,Social Media Video Editor (Youtube & Tiktok),Hariyo Ardhito Enterprises,Adobe Products,"Tambun Selatan, Bekasi, Jawa Barat, Indonesia",Penuh Waktu,Tidak ditampilkan,Rp4jt-Rp6jt,1 – 3 tahun,Tidak ditampilkan,Sarjana (S1),"Edit Tiktok and Youtube videos, Utilizing Adobe Premiere Pro, Adobe After Effects, Adobe Photoshop, and general video editing software to work on a video., Adjusting your video to meet standards, by utilizing notes given by work partners such as scriptwriter, production team or the talents themselves, Working with scriptwriters & production team to improve and share skills, as well as communicate and improve your proficiency in video editing., Implementing creative choices during editing - including scenario structure for animations, finding the right music for certain clips and reactions, and determining what should be supported visually/audibly in the editing process",https://glints.com/id/opportunities/jobs/social-media-video-editor-youtube-and-tiktok/e382258a-0480-4371-aab1-6c1b45671408?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/b12893c8e751cac75594da5ecf9e628c.jpeg;
gl1,Host live streaming,Elope Official,Communication Skills,"Lakarsantri, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp2jt-Rp3,5jt",1 – 3 tahun,"Komunikasi Pemasaran, Kemampuan Komunikasi, Berbicara di Depan Umum",SMA/SMK,,https://glints.com/id/opportunities/jobs/host-live-streaming/b6c480ea-f636-43bd-a202-95676377fbc2?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/22f086e39ad2cb0b125dbbd71afec37e.jpg;
gl2,Education Consultant Tangerang,Cv Naresy Indonesia,Sales Marketing,"Tangerang, Tangerang, Banten, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp4,5jt-Rp4,8jt",1 – 3 tahun,Tidak ditampilkan,Sarjana (S1),"Finding new potential clients of University, lead research and sources, and networking to drive sales., Ensuring all Sales Marketing program both online and offline are running well, Involved in company’s activities such as company’s exhibition or school expo., Provide consultation for students, and parents about information on studying abroad.",https://glints.com/id/opportunities/jobs/education-consultant-tangerang/fd3abcaa-c7ee-4187-b9ae-f2076fcd0672?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/7941a671e9f4ef61440968ed8d7e0293.jpg;
gl3,Corporate Investor Relation,PT Emaklon Digital Internasional,Risk Management,"Mampang Prapatan, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Rp10jt-Rp15jt,5 – 10 tahun,"Komunikasi Pemasaran, Keuangan Manajerial, Analisis Investasi, Manajemen Risiko",Sarjana (S1),,https://glints.com/id/opportunities/jobs/corporate-investor-relation/477a7389-84a7-4ef2-ad64-7594d504c9db?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/87be08782298a09b95a641ad28a25c54.jpg;
gl4,Social Media Specialist Internship,PT. MOC Milenial Indonesia,Kreatif Dan Inovatif,"Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Magang,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,Tidak ditampilkan,SMA/SMK,"Mancari referensi konten., Membuat konsep konten sesuai dengan campaign., Memastikan upload konten sesuai dengan timeline/jadwal., Melakukan riset terhadap sosial media yang di handle.",https://glints.com/id/opportunities/jobs/social-media-specialist-internship/4bf05a36-6711-4b83-bb7f-beeb6db29e7b?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/6173a3a558bc84c2e4f0c70aa65dcdfb.png;
gl5,Content Creator Social Media,Beauty by Siena Wong,Content Marketing,"Serpong Utara, Tangerang Selatan, Banten, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp5jt-Rp6,5jt",1 – 3 tahun,"Pembuatan Konten, Pengeditan Video, Manajemen Konten, Pemasaran Konten",SMA/SMK,,https://glints.com/id/opportunities/jobs/content-creator-social-media/856ded8a-a773-4e0e-b03a-d2fc1ffd55ac?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/f85701fa163577a67adcdfd8ba8f4f49.jpg;
gl6,Sales Executive (Developer Property),PT Wadah Arta Agung,Penjualan Dan Pemasaran,"Sukatani, Bekasi, Jawa Barat, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,SMA/SMK,"Usia Maksimal 35 Tahun, Pendidikan minimun SMA dari semua jurusan, Memiliki pengalaman minimal 1 tahun menjual properti Primary perumahan dan komersial, Berkepribadian yang baik, jujur dan punya motivasi tinggi, Mampu bekerja dengan target, Berpenampilan rapih, Mampu berkomunikasi dengan baik, Mampu bekerja pada tim, bekerja pada target, independen, Mampu mengoperasikan komputer (Ms Excel & Word), internet, Memiliki kendaraan sendiri, Sehat jasmani dan rohani, Berdomisili di Jabodetabek, Penempatan di Sukatani Raya",https://glints.com/id/opportunities/jobs/sales-executive-developer-property/2fb23f08-bb49-407a-8524-aac65732da91?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/1b5564cc8a2276046d773d4590428b82.jpg;
gl7,manager operasional,siskin clinic,Hospitality Management,"Purwokerto Timur, Banyumas, Jawa Tengah, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Keuangan Manajerial, Digital Marketing, Manajemen Hospitalitas",Sarjana (S1),,https://glints.com/id/opportunities/jobs/manager-operasional/a239c0e6-706e-4792-a180-dcceb28b986e?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/92a4bdcc23cb4b9802f07fb8be07bd3b.jpeg;
gl8,Desainer Interior,PT Sumoda Tama Berkah,Adobe Illustrator,"Bogor Utara, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Adobe Illustrator, Google SketchUp, Adobe Photoshop",Diploma (D1 - D4),,https://glints.com/id/opportunities/jobs/desainer-interior/992e41cd-e0fb-4cdb-9dc5-80dbf9746896?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/fde692c980abfcd539702c72b5aec8c4.png;
gl9,Customer Relation Officer,PT Rekruter Infinit Cakrawala,Interpersonal Communication,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Kontrak,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Penjualan dan Pemasaran, Penjualan B2C, Keterampilan Negosiasi, Komunikasi Interpersonal, Asuransi, Perbankan",Diploma (D1 - D4),"Pendidikan minimal D3/Sederajat, Pengalaman minimal 1 tahun sebagai Sales Bancassurance atau Perbankan, Berorientasi pada target, Komunikatif dan berkepribadian baik, Bersedia ditempatkan di area Jabodetabek",https://glints.com/id/opportunities/jobs/customer-relation-officer/c5db9563-f81b-4c3a-bb5a-2b95371089aa?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/b7058cba6c21c087ea4b47c5e02a76a9.png;
